primary_name,Month,SeasonType,SpecificDatestobehighlighted,MinTemp,MaxTemp,Snowfall,AdvisableWear
Sterling Nature Trails Sajan,Jul,Shoulder,,24,40,N,Cotton
Sterling Nature Trails Sajan,Aug,2 Seasons,,22,38,N,Cotton and rain coat advice
Sterling Nature Trails Sajan,Sep,2 Seasons,,22,38,N,Cotton and rain coat advice
Sterling Nature Trails Sajan,Oct,2 Seasons,,22,38,N,Cotton and rain coat advice
Sterling Nature Trails Sajan,Nov,Peak,,16,26,N,Light Woolen
Sterling Nature Trails Sajan,Dec,Peak,,16,26,N,Light Woolen
Sterling Nature Trails Kundalika,Jan,2 Seasons,Guest movement are high on weekend,15.1,29,,Light Woollen
Sterling Nature Trails Kundalika,Feb,Lean,Guest movement are high on weekend,17.5,35,,Cotton
Sterling Nature Trails Kundalika,Mar,Lean,Guest movement are high on weekend,19.2,36,,Cotton
Sterling Nature Trails Kundalika,Apr,Lean,Guest movement are high on weekend,22.6,39,,Cotton
Sterling Nature Trails Kundalika,May,2 Seasons,Guest movement are high on weekend,24.9,39.9,,Cotton
Sterling Nature Trails Kundalika,Jun,2 Seasons,Guest movement are high on weekend,23.8,40.1,,Cotton
Sterling Nature Trails Kundalika,Jul,2 Seasons,Guest movement are high on weekend,24.7,42.5,,Cotton
Sterling Nature Trails Kundalika,Aug,Shoulder,Guest movement are high on weekend,23.9,42.7,,Cotton
Sterling Nature Trails Kundalika,Sep,Shoulder,Guest movement are high on weekend,21.1,41.9,,Cotton
Sterling Nature Trails Kundalika,Oct,Peak,Guest movement are high on weekend,21.4,37.8,,Cotton
Sterling Nature Trails Kundalika,Nov,Peak,Guest movement are high on weekend,17.7,36.2,,Cotton
Sterling Nature Trails Kundalika,Dec,Peak,24th to 31st,16,30.5,,Light Woollen
Sterling V Grand Madurai,Jan,Shoulder,"Tamil Wedding Days , Jallikattu - bull taming event ( 13,14,15)",21,32.4,N,Casual Wear
Sterling V Grand Madurai,Feb,Shoulder,Tamil Wedding Days,22,34.6,N,Casual Wear
Sterling V Grand Madurai,Mar,Shoulder,Tamil Wedding Days,24.3,37.3,N,Casual Wear
Sterling V Grand Madurai,Apr,Peak,"Tamil Wedding Days , Chitthirai Thiruvizha - associated with the Meenakshi Temple, dedicated to the goddess Meenakshi, a form of Parvati (23rd April - 9th May 2023)",26.2,39.3,N,Summer wear
Sterling V Grand Madurai,May,Peak,"Tamil Wedding Days , Chitthirai Thiruvizha - associated with the Meenakshi Temple, dedicated to the goddess Meenakshi, a form of Parvati (23rd April - 9th May 2023)",26.4,39.2,N,Summer wear
Sterling V Grand Madurai,Jun,Shoulder,Tamil Wedding Days,26.3,38.8,N,Summer wear
Sterling V Grand Madurai,Jul,2 Seasons,Tamil Wedding Days,26.1,38,N,Summer wear
Sterling V Grand Madurai,Aug,2 Seasons,Tamil Wedding Days,25.4,37.4,N,Summer wear
Sterling V Grand Madurai,Sep,Lean,"Tamil Wedding Days , Navarathri - Hindu festival observed in the honour of the goddess Durga",24.6,36.2,N,Summer wear
Sterling V Grand Madurai,Oct,Shoulder,Tamil Wedding Days,24.3,35.1,N,Summer wear
Sterling V Grand Madurai,Nov,Shoulder,Tamil Wedding Days,23.4,32.8,N,Casual Wear
Sterling V Grand Madurai,Dec,Peak,Tamil Wedding Days,22.2,31.6,N,Casual Wear
Sterling Guruvayur,Jan,Shoulder,,28,32,No,casual wear
Sterling Guruvayur,Feb,Lean,,31,35,No,casual wear
Sterling Guruvayur,Mar,Lean,,31,35,No,casual wear
Sterling Guruvayur,Apr,Peak,01 - 30 summer vacasion,31,35,No,casual wear
Sterling Guruvayur,May,Peak,01 - 30 summer vacasion,31,35,No,casual wear
Sterling Guruvayur,Jun,Shoulder,,28,32,No,casual wear
Sterling Guruvayur,Jul,Lean,,28,32,No,casual wear
Sterling Guruvayur,Aug,Shoulder,15 - 30 peak,28,32,No,casual wear
Sterling Guruvayur,Sep,Shoulder,01 - 16 peak,28,32,No,casual wear
Sterling Guruvayur,Oct,Shoulder,,28,32,No,casual wear
Sterling Guruvayur,Nov,Shoulder,,28,32,No,casual wear
Sterling Guruvayur,Dec,Peak,21 - 31 peak,25,30,No,casual wear
Sterling Park Kalimpong,Jan,Lean,,5,17,N,Heavy Woolen
Sterling Park Kalimpong,Feb,Lean,,5,20,N,Heavy Woolen
Sterling Park Kalimpong,Mar,Shoulder,,11,24,N,Light Woolen
Sterling Park Kalimpong,Apr,Peak,,11,24,N,Cotton wear / Sunglassess
Sterling Park Kalimpong,May,Peak,,16,25,N,Cotton wear / Sunglassess
Sterling Park Kalimpong,Jun,Peak,,16,25,N,Cotton wear / Umbrella
Sterling Park Kalimpong,Jul,Lean,,18,24,N,Cotton wear / Umbrella
Sterling Park Kalimpong,Aug,Shoulder,13-17 Peak,18,24,N,Cotton wear / Umbrella
Sterling Park Kalimpong,Sep,Shoulder,,18,24,N,Cotton wear / Umbrella
Sterling Park Kalimpong,Oct,Peak,21st to 30th Peak,11,22,N,Light Woolen
Sterling Park Kalimpong,Nov,Lean,,11,22,N,Light Woolen
Sterling Park Kalimpong,Dec,2 Seasons,20-31 Peak,5,17,N,Heavy Woolen
Sterling Mount Abu,Jan,2 Seasons,1-15 peak,0,5,N,Heavy Woolen
Sterling Mount Abu,Feb,2 Seasons,14-28 peak,5,12,N,Heavy Woolen
Sterling Mount Abu,Mar,Lean,,10,20,N,Light Woolen
Sterling Mount Abu,Apr,Peak,,20,28,N,Cotton
Sterling Mount Abu,May,Peak,,25,35,N,Cotton
Sterling Mount Abu,Jun,Shoulder,,25,35,N,Cotton
Sterling Mount Abu,Jul,Peak,,18,25,N,Cotton
Sterling Mount Abu,Aug,2 Seasons,13-17 Peak,22,32,N,Cotton
Sterling Mount Abu,Sep,Lean,,20,28,N,Cotton
Sterling Mount Abu,Oct,Shoulder,,20,26,N,Light Woolen
Sterling Mount Abu,Nov,Peak,,15,22,N,Light Woolen
Sterling Mount Abu,Dec,Peak,21-31 Peak,-2,5,N,Heavy Woolen
Sterling Ooty Fern Hill,Jan,Lean,,6,16,Y,Winter season Heavy Woolen
Sterling Ooty Fern Hill,Feb,Lean,,10,28,N,Woolen cloths
Sterling Ooty Fern Hill,Mar,Shoulder,,12,28,N,Woolen cloths
Sterling Ooty Fern Hill,Apr,Peak,"Summer Vacations, pleaseant climate in Ooty.",10,28,N,Light Woolen cloths
Sterling Ooty Fern Hill,May,Peak,"Summer Vacations, pleaseant climate in Ooty.",10,28,N,Light Woolen cloths
Sterling Ooty Fern Hill,Jun,Peak,"Summer Vacations, pleaseant climate in Ooty.",10,28,N,"Rainy season, Rain Coat Heavy woollen cloths"
Sterling Ooty Fern Hill,Jul,Lean,"Lean season historicalty, may be due to schools and climate",10,28,N,"Rainy season, Rain Coat Heavy woollen cloths"
Sterling Ooty Fern Hill,Aug,2 Seasons,,10,28,N,Woolen cloths
Sterling Ooty Fern Hill,Sep,2 Seasons,,10,28,N,Woolen cloths
Sterling Ooty Fern Hill,Oct,Shoulder,Diwali and Navratri season,6,28,N,Woolen cloths
Sterling Ooty Fern Hill,Nov,Shoulder,Diwali and Navratri season,4,28,N,"Rainy season, Rain Coat Heavy woollen cloths"
Sterling Ooty Fern Hill,Dec,Peak,20 to 31st,4,28,Y,Winter season Heavy Woolen
Sterling Wayanad,Jan,Peak,1-17 Peak,14°C,26,N,Light Woolen
Sterling Wayanad,Feb,Shoulder,,16°C,26,N,Cotton
Sterling Wayanad,Mar,Shoulder,,18°C,28,N,Cotton
Sterling Wayanad,Apr,Peak,15-30 Peak,22°C,32,N,Cotton
Sterling Wayanad,May,Peak,1-30 Peak,22°C,34,N,Cotton
Sterling Wayanad,Jun,Lean,1-15 Peak,18°C,30,N,Cotton
Sterling Wayanad,Jul,Lean,,16°C,28,N,Cotton
Sterling Wayanad,Aug,Shoulder,13-17 Peak,16°C,28,N,Light Woolen
Sterling Wayanad,Sep,Shoulder,3-9 Peak,18°C,30,N,Light Woolen
Sterling Wayanad,Oct,Shoulder,,18°C,30,N,Light Woolen
Sterling Wayanad,Nov,Peak,12-19 Peak,16°C,28,N,Light Woolen
Sterling Wayanad,Dec,Peak,18-30 Peak,14°C,26,N,Light Woolen
Sterling Pushkar,Jan,Peak,,6,27,No,Heavy Woolen
Sterling Pushkar,Feb,Peak,,8,32,No,Heavy Woolen
Sterling Pushkar,Mar,Peak,Holi festival dates,14,39,No,Light Woolen
Sterling Pushkar,Apr,2 Seasons,,21,42,No,Cotton
Sterling Pushkar,May,Lean,,24,43,No,Cotton
Sterling Pushkar,Jun,Lean,,28,41,No,Cotton
Sterling Pushkar,Jul,Lean,,26,36,No,Cotton
Sterling Pushkar,Aug,Lean,,24,33,No,Cotton
Sterling Pushkar,Sep,2 Seasons,,22,33,No,Cotton
Sterling Pushkar,Oct,Shoulder,,18,34,No,Light Woolen
Sterling Pushkar,Nov,Peak,Pushkar Camel fair,14,29,No,Heavy Woolen
Sterling Pushkar,Dec,Peak,"25th, 30th, 31st",9,25,No,Heavy Woolen
Sterling Aravalli,Jan,Peak,Wedding season & Long Weekends,9,24,N,Heavy Woolen
Sterling Aravalli,Feb,Peak,Wedding season & Long Weekends,12,27,N,Light Woolen
Sterling Aravalli,Mar,Peak,Wedding season & Long Weekends,16,32,N,Cotton
Sterling Aravalli,Apr,2 Seasons,,21,37,N,Cotton
Sterling Aravalli,May,2 Seasons,Wedding season,24,38,N,Cotton
Sterling Aravalli,Jun,2 Seasons,,25,35,N,Cotton
Sterling Aravalli,Jul,Lean,1st of july -15th sept is our rainy season.,23,29,N,Cotton
Sterling Aravalli,Aug,Lean,1st of july -15th sept is our rainy season.,22,28,N,Cotton
Sterling Aravalli,Sep,Shoulder,1st of july -15th sept is our rainy season.,21,30,N,Cotton
Sterling Aravalli,Oct,Shoulder,Long Weekends,19,31,N,Light Woolen
Sterling Aravalli,Nov,Peak,Wedding season,15,28,N,Light Woolen
Sterling Aravalli,Dec,Peak,"Due to festive season, our occupancy is full in December",11,25,N,Heavy Woolen
Sterling Banashree Badami,Jan,Peak,Banasankri Mela,20°,30°,N,Woolen cloths
Sterling Banashree Badami,Feb,Peak,,22°,33°,N,
Sterling Banashree Badami,Mar,Lean,,25°,36°,N,
Sterling Banashree Badami,Apr,Lean,,28°,38°,N,
Sterling Banashree Badami,May,Shoulder,,28°,39°,N,
Sterling Banashree Badami,Jun,Shoulder,,25°,32°,N,
Sterling Banashree Badami,Jul,2 Seasons,,24°,29°,N,"Rainy season, Rain Coat"
Sterling Banashree Badami,Aug,2 Seasons,,23°,28°,N,"Rainy season, Rain Coat"
Sterling Banashree Badami,Sep,Peak,,23°,29°,N,"Rainy season, Rain Coat"
Sterling Banashree Badami,Oct,Peak,Diwali and Navratri season,23°,30°,N,
Sterling Banashree Badami,Nov,Peak,Diwali and Navratri season,21°,29°,N,Woolen cloths
Sterling Banashree Badami,Dec,Peak,20 to 31st,19°,29°,N,Woolen cloths
Sterling Rewild Sariska,Jan,Peak,,5,25,N,Heavy Woolen
Sterling Rewild Sariska,Feb,Peak,,8,32,N,Heavy Woolen
Sterling Rewild Sariska,Mar,Peak,,20,38,N,Light Woolen
Sterling Rewild Sariska,Apr,Shoulder,,25,40,N,Cotton
Sterling Rewild Sariska,May,Shoulder,,30,45,N,Cotton
Sterling Rewild Sariska,Jun,Shoulder,,32,45,N,Cotton
Sterling Rewild Sariska,Jul,Lean,during monsoons only buffer zone remains open which is the road going straight to Hanuman Ji's Temple called Pandu pole.,25,35,N,Cotton
Sterling Rewild Sariska,Aug,Lean,during monsoons only buffer zone remains open which is the road going straight to Hanuman Ji's Temple called Pandu pole.,25,35,N,Cotton
Sterling Rewild Sariska,Sep,Lean,during monsoons only buffer zone remains open which is the road going straight to Hanuman Ji's Temple called Pandu pole.,23,35,N,Cotton
Sterling Rewild Sariska,Oct,Peak,,18,32,N,Cotton
Sterling Rewild Sariska,Nov,Peak,,10,28,N,Heavy Woolen
Sterling Rewild Sariska,Dec,Peak,,7,23,N,Heavy Woolen
Sterling Stolen Heaven,Jan,Lean,,18,22,N,Normal
Sterling Stolen Heaven,Feb,Lean,,18,22,N,Normal
Sterling Stolen Heaven,Mar,Lean,,18,24,N,Normal
Sterling Stolen Heaven,Apr,Peak,,25,30,N,Normal
Sterling Stolen Heaven,May,Peak,,25,30,N,Normal
Sterling Stolen Heaven,Jun,Peak,,24,26,N,Rainy
Sterling Stolen Heaven,Jul,Peak,,18,22,N,Rainy
Sterling Stolen Heaven,Aug,Peak,,18,22,N,Rainy
Sterling Stolen Heaven,Sep,Peak,,20,24,N,Rainy
Sterling Stolen Heaven,Oct,2 Seasons,,18,20,N,Woolen
Sterling Stolen Heaven,Nov,2 Seasons,,16,20,N,Woolen
Sterling Stolen Heaven,Dec,2 Seasons,,12,20,N,Woolen
Sterling Marbella Dehradun,Jan,Lean,26,6,21,N,Woolen
Sterling Marbella Dehradun,Feb,Lean,14,9,23,N,Woolen
Sterling Marbella Dehradun,Mar,2 Seasons,25,13,28,N,Semi Woolen
Sterling Marbella Dehradun,Apr,Shoulder,"11,14,21",17,33,N,Cotton
Sterling Marbella Dehradun,May,Shoulder,23,21,36,N,Cotton
Sterling Marbella Dehradun,Jun,Shoulder,"16,17",23,35,N,Cotton
Sterling Marbella Dehradun,Jul,Lean,16,23,31,N,Cotton
Sterling Marbella Dehradun,Aug,Lean,15,23,31,N,Cotton
Sterling Marbella Dehradun,Sep,Lean,"15,17",21,31,N,Cotton
Sterling Marbella Dehradun,Oct,2 Seasons,"2,31",16,30,N,Semi Woolen
Sterling Marbella Dehradun,Nov,Shoulder,"12,15",11,26,N,woolen
Sterling Marbella Dehradun,Dec,Shoulder,25,7,22,N,woolen
Sterling Yelagiri,Jan,Shoulder,,14,25,N,Woolen
Sterling Yelagiri,Feb,Lean,,15,28,N,Woolen
Sterling Yelagiri,Mar,Lean,,17,30,N,Light Woolen
Sterling Yelagiri,Apr,Peak,,19,31,N,Cotton
Sterling Yelagiri,May,Peak,,20,32,N,Cotton
Sterling Yelagiri,Jun,Lean,,20,30,N,Cotton
Sterling Yelagiri,Jul,Lean,,19,28,N,Cotton
Sterling Yelagiri,Aug,2 Seasons,,19,28,N,Cotton
Sterling Yelagiri,Sep,Shoulder,,19,28,N,Cotton
Sterling Yelagiri,Oct,Shoulder,,18,27,N,Cotton
Sterling Yelagiri,Nov,2 Seasons,,16,25,N,Woolen
Sterling Yelagiri,Dec,Peak,,14,24,N,Woolen
Sterling Anaikatti,Jan,2 Seasons,,,,,
Sterling Anaikatti,Feb,Lean,,,,,
Sterling Anaikatti,Mar,Shoulder,,,,,
Sterling Anaikatti,Apr,Peak,,,,,
Sterling Anaikatti,May,Peak,,,,,
Sterling Anaikatti,Jun,2 Seasons,,,,,
Sterling Anaikatti,Jul,Shoulder,,,,,
Sterling Anaikatti,Aug,2 Seasons,,,,,
Sterling Anaikatti,Sep,Lean,,,,,
Sterling Anaikatti,Oct,2 Seasons,,,,,
Sterling Anaikatti,Nov,Lean,,,,,
Sterling Anaikatti,Dec,2 Seasons,,,,,
Sterling Darjeeling,Jan,Lean,,2,10,Y,Heavy Woolen
Sterling Darjeeling,Feb,Lean,,2,8,y,Heavy Woolen
Sterling Darjeeling,Mar,Lean,15 onwards season pick up,12,20,N,Light Woolen
Sterling Darjeeling,Apr,Shoulder,,15,22,N,Cotton
Sterling Darjeeling,May,Peak,,15,22,N,Cotton
